784
784
Training softmax regression
| Epoch | Train Loss | Train Err | Test Loss | Test Err |
|     0 |    -5.66989 |   0.10812 |   -5.76935 |  0.09960 |
|     1 |    -6.48200 |   0.09748 |   -6.58787 |  0.09180 |
|     2 |    -6.93401 |   0.09187 |   -7.04238 |  0.08770 |
|     3 |    -7.24399 |   0.08867 |   -7.35357 |  0.08510 |
|     4 |    -7.47836 |   0.08667 |   -7.58849 |  0.08320 |
|     5 |    -7.66582 |   0.08508 |   -7.77612 |  0.08250 |
|     6 |    -7.82131 |   0.08393 |   -7.93155 |  0.08180 |
|     7 |    -7.95361 |   0.08305 |   -8.06363 |  0.08120 |
|     8 |    -8.06834 |   0.08215 |   -8.17804 |  0.08070 |
|     9 |    -8.16933 |   0.08137 |   -8.27863 |  0.08080 |

Training two layer neural network w/ 100 hidden units
| Epoch | Train Loss | Train Err | Test Loss | Test Err |
|     0 |    -8.14618 |   0.06007 |   -8.24573 |  0.05850 |
|     1 |    -9.09615 |   0.04292 |   -9.19712 |  0.04480 |
|     2 |    -9.73297 |   0.03383 |   -9.83217 |  0.03950 |
|     3 |    -10.24669 |   0.02858 |   -10.34382 |  0.03570 |
|     4 |    -10.67898 |   0.02453 |   -10.77529 |  0.03410 |
|     5 |    -11.15026 |   0.02210 |   -11.24672 |  0.03170 |
|     6 |    -11.55586 |   0.01965 |   -11.64969 |  0.03050 |
|     7 |    -11.94959 |   0.01748 |   -12.04069 |  0.02890 |
|     8 |    -12.25419 |   0.01560 |   -12.34135 |  0.02820 |
|     9 |    -12.65032 |   0.01397 |   -12.73677 |  0.02810 |
|    10 |    -12.96420 |   0.01258 |   -13.04964 |  0.02690 |
|    11 |    -13.26082 |   0.01163 |   -13.34472 |  0.02680 |
|    12 |    -13.56550 |   0.01065 |   -13.64992 |  0.02700 |
|    13 |    -13.84647 |   0.00977 |   -13.92980 |  0.02650 |
|    14 |    -14.13401 |   0.00902 |   -14.21743 |  0.02580 |
|    15 |    -14.41822 |   0.00822 |   -14.50196 |  0.02560 |
|    16 |    -14.67036 |   0.00765 |   -14.75158 |  0.02560 |
|    17 |    -14.94304 |   0.00687 |   -15.02320 |  0.02530 |
|    18 |    -15.15122 |   0.00642 |   -15.22837 |  0.02490 |
|    19 |    -15.40055 |   0.00583 |   -15.47666 |  0.02470 |
