784
784
| Epoch | Train Loss | Train Err | Test Loss | Test Err |
|     0 |    -8.80725 |   0.09760 |   -8.92747 |  0.09700 |
|     1 |    -9.48493 |   0.09227 |   -9.60142 |  0.09190 |
|     2 |    -9.84387 |   0.08968 |   -9.95564 |  0.09160 |
|     3 |    -10.08458 |   0.08793 |   -10.19219 |  0.09090 |
|     4 |    -10.26530 |   0.08663 |   -10.36932 |  0.09040 |
|     5 |    -10.41014 |   0.08543 |   -10.51103 |  0.08970 |
|     6 |    -10.53124 |   0.08483 |   -10.62934 |  0.08930 |
|     7 |    -10.63551 |   0.08435 |   -10.73109 |  0.08930 |
|     8 |    -10.72722 |   0.08375 |   -10.82049 |  0.08940 |
|     9 |    -10.80918 |   0.08342 |   -10.90034 |  0.08990 |
